Input 1.000 current 9.9938119e-04 Step 9.9938119e-07 cap_voltage 6.1980815e-04 Current time                 1520
Input 1.000 current 9.9936120e-04 Step 9.9936120e-07 cap_voltage 6.3979556e-04 Current time                 1540
Input 1.000 current 9.9934122e-04 Step 9.9934122e-07 cap_voltage 6.5978258e-04 Current time                 1560
Input 1.000 current 9.9932123e-04 Step 9.9932123e-07 cap_voltage 6.7976919e-04 Current time                 1580
Input 1.000 current 9.9930124e-04 Step 9.9930124e-07 cap_voltage 6.9975541e-04 Current time                 1600
Input 1.000 current 9.9928126e-04 Step 9.9928126e-07 cap_voltage 7.1974122e-04 Current time                 1620
Input 1.000 current 9.9926127e-04 Step 9.9926127e-07 cap_voltage 7.3972664e-04 Current time                 1640
Input 1.000 current 9.9924129e-04 Step 9.9924129e-07 cap_voltage 7.5971165e-04 Current time                 1660
Input 1.000 current 9.9922130e-04 Step 9.9922130e-07 cap_voltage 7.7969627e-04 Current time                 1680
Input 1.000 current 9.9920132e-04 Step 9.9920132e-07 cap_voltage 7.9968048e-04 Current time                 1700
Input 1.000 current 9.9918133e-04 Step 9.9918133e-07 cap_voltage 8.1966430e-04 Current time                 1720
Input 1.000 current 9.9916135e-04 Step 9.9916135e-07 cap_voltage 8.3964772e-04 Current time                 1740
Input 1.000 current 9.9914137e-04 Step 9.9914137e-07 cap_voltage 8.5963074e-04 Current time                 1760
Input 1.000 current 9.9912139e-04 Step 9.9912139e-07 cap_voltage 8.7961335e-04 Current time                 1780
Input 1.000 current 9.9910140e-04 Step 9.9910140e-07 cap_voltage 8.9959557e-04 Current time                 1800
Input 1.000 current 9.9908142e-04 Step 9.9908142e-07 cap_voltage 9.1957739e-04 Current time                 1820
Input 1.000 current 9.9906144e-04 Step 9.9906144e-07 cap_voltage 9.3955881e-04 Current time                 1840
Input 1.000 current 9.9904146e-04 Step 9.9904146e-07 cap_voltage 9.5953983e-04 Current time                 1860
Input 1.000 current 9.9902148e-04 Step 9.9902148e-07 cap_voltage 9.7952045e-04 Current time                 1880
Input 1.000 current 9.9900150e-04 Step 9.9900150e-07 cap_voltage 9.9950067e-04 Current time                 1900
Input 1.000 current 9.9898152e-04 Step 9.9898152e-07 cap_voltage 1.0194805e-03 Current time                 1920
Input 1.000 current 9.9896154e-04 Step 9.9896154e-07 cap_voltage 1.0394599e-03 Current time                 1940
